weight_kg,price
11.45,259.98
1.0,31.9
0.2,20.7
1.04,105.9
2.35,179.9
0.34,219.9
0.6,59.8
0.5,199.6
0.2,64.99
0.21,69.9
0.75,39.9
1.5,74.9
0.1,45.0
1.38,89.9
12.85,422.0
0.25,49.0
5.05,159.9
3.9,308.0
0.85,69.9
0.55,26.99
6.05,109.99
0.2,12.3
0.8,49.99
1.75,89.99
0.32,198.0
0.35,74.9
4.34,185.0
0.3,25.0
1.95,95.9
0.15,109.9
0.3,79.0
30.0,990.0
8.0,79.0
0.42,91.45
2.08,95.9
0.45,219.0
0.15,110.32
9.75,200.0
0.6,49.9
1.4,67.0
4.32,499.9
0.2,46.0
0.15,24.9
0.15,16.99
0.36,79.0
0.45,59.0
12.3,69.9
0.55,23.5
2.75,299.9
0.59,98.9
1.1,109.8
0.33,69.9
1.25,64.9
0.25,29.9
14.1,595.0
1.35,121.0
0.34,99.9
0.7,99.0
5.35,67.0
10.05,138.0
0.15,34.99
0.1,19.9
19.15,399.0
1.2,500.0
2.2,78.0
1.87,29.5
0.37,26.0
0.97,120.0
2.15,117.99
0.85,69.9
0.3,59.0
0.12,8.9
0.1,19.99
8.2,121.0
5.5,119.77
0.48,65.0
0.2,57.39
9.65,200.0
1.11,47.65
21.2,399.9
1.98,109.9
0.25,29.9
0.52,349.9
0.65,35.0
2.9,184.9
1.58,299.99
0.17,86.0
0.6,84.99
0.15,49.9
9.28,199.9
1.3,189.0
1.38,89.9
2.0,299.9
6.55,149.0
0.45,34.99
0.28,18.95
0.15,38.0
2.15,49.99
0.57,49.99
0.93,146.99
8.95,128.0
0.5,81.9
0.2,25.0
12.0,859.0
0.35,24.9
1.62,229.99
7.85,189.9
0.5,99.9
0.11,13.99
0.21,81.99
2.2,193.0
12.65,149.94
2.55,75.0
0.6,89.9
0.25,55.0
1.5,59.9
5.33,149.9
0.12,74.9
0.5,54.9
0.18,94.0
0.6,36.9
0.15,27.9
0.55,210.0
0.6,179.99
0.55,102.0
0.2,38.0
1.0,94.9
0.65,45.9
0.45,84.99
0.41,16.9
5.95,113.0
0.36,155.97
0.6,39.0
2.0,149.9
0.21,74.89
0.4,117.0
0.4,107.9
0.35,69.0
0.7,99.0
7.1,99.0
0.8,44.9
1.2,99.99
0.1,48.99
0.35,16.5
7.35,125.0
3.5,209.9
0.9,179.0
1.65,79.9
5.4,209.99
22.1,599.0
1.17,139.9
7.85,46.99
0.45,34.08
0.15,29.99
0.9,99.0
0.1,39.9
0.55,59.99
1.4,47.33
0.15,47.6
0.1,28.49
2.15,39.9
0.6,119.9
0.35,95.0
1.3,114.9
0.22,24.99
0.8,20.7
0.83,358.99
0.6,27.9
2.6,1300.0
0.85,35.0
0.15,19.9
0.35,17.0
0.25,25.9
4.34,124.9
0.1,49.9
0.2,23.9
1.7,75.0
0.15,17.99
0.3,59.0
0.15,25.0
0.3,119.9
3.8,150.0
1.7,199.0
0.2,15.0
3.0,179.0
1.1,123.9
1.75,49.9
1.65,238.0
1.15,88.0
0.3,49.9
1.02,57.99
0.15,19.99
0.1,59.9
0.85,89.0
1.5,59.9
1.85,90.0
0.52,109.9
0.1,14.99
0.55,79.0
0.52,24.9
0.25,38.0
0.7,35.0
1.82,86.9
0.08,89.9
0.65,34.99
0.4,16.9
2.7,199.9
1.05,89.0
0.12,57.9
0.6,189.72
0.15,26.1
0.6,84.99
1.38,182.0
6.02,491.99
3.0,49.0
0.45,129.0
7.0,59.9
0.25,56.9
4.32,249.0
0.45,49.9
0.2,14.9
1.03,65.0
6.0,575.5
0.8,60.0
9.0,99.0
1.0,49.9
0.25,32.9
5.9,422.0
0.6,89.0
0.45,36.75
0.4,94.99
2.6,69.9
0.4,49.0
1.9,130.0
7.0,109.9
0.3,158.4
0.15,18.0
0.2,135.0
0.7,55.0
9.15,142.99
1.2,34.9
5.35,89.0
3.4,79.99
1.28,112.33
1.5,53.9
0.2,39.0
0.9,99.8
0.25,110.0
0.6,53.0
2.8,179.9
0.2,13.65
0.46,152.0
1.1,34.99
3.3,108.99
0.18,109.9
12.5,1589.0
0.4,109.99
0.28,40.0
1.6,49.99
1.0,89.0
0.5,65.99
0.3,49.9
0.95,82.99
1.25,28.0
2.4,850.0
0.32,29.99
0.5,119.0
3.75,135.0
0.3,12.99
10.1,85.51
0.48,109.0
0.4,72.9
1.85,69.9
0.85,79.9
0.35,277.99
0.75,39.9
1.55,134.99
0.15,25.0
0.15,79.9
0.25,29.99
0.2,22.32
0.35,29.5
0.7,44.0
0.92,165.0
1.65,99.9
0.4,96.54
0.12,29.9
4.47,99.99
0.15,49.9
0.5,69.9
5.35,119.97
0.15,25.77
1.25,59.9
2.75,279.99
0.18,47.49
0.9,84.99
0.22,29.99
0.09,18.99
0.75,62.9
0.3,44.57
2.85,79.5
1.25,46.99
0.19,101.08
15.35,572.0
0.1,19.99
0.15,29.9
0.7,83.99
4.1,59.9
0.2,79.99
11.1,164.0
0.12,19.99
16.65,186.97
0.2,69.0
0.55,29.99
0.4,19.99
1.7,99.99
1.05,259.9
0.8,134.0
5.9,149.99
0.21,99.87
1.65,59.9
5.15,150.0
4.45,119.8
1.4,47.33
0.75,99.9
4.65,209.99
0.38,15.9
0.85,35.0
0.97,120.0
7.0,89.0
0.6,45.9
2.3,69.9
0.6,84.99
15.7,119.0
0.35,56.99
0.05,38.9
0.65,12.67
0.75,467.0
0.15,29.99
0.35,55.0
1.3,189.0
0.35,49.9
10.4,269.99
22.8,189.99
0.2,40.0
4.8,49.97
0.7,109.9
0.35,110.32
1.0,69.0
0.55,42.9
1.52,44.99
0.46,28.0
0.25,66.0
2.85,159.0
1.45,48.5
5.68,44.9
0.55,69.99
0.5,349.0
1.23,79.9
1.4,129.99
0.45,129.99
0.9,54.99
1.1,193.0
0.16,135.91
0.8,35.99
1.23,109.9
1.8,119.9
0.32,10.0
1.95,49.9
0.1,45.0
0.47,37.9
6.2,260.99
1.65,59.9
0.6,79.9
0.35,35.9
0.58,99.9
0.26,15.9
9.8,219.0
0.4,17.9
1.05,24.9
0.25,74.99
0.3,309.99
0.2,42.99
0.14,144.41
0.15,14.99
7.9,179.0
4.4,86.99
0.5,39.0
10.5,154.99
0.2,19.49
0.35,49.0
2.2,134.64
0.35,64.99
0.18,28.45
5.55,120.0
0.15,75.0
2.25,239.99
6.0,17.6
1.0,159.8
0.4,29.68
0.52,76.49
0.4,94.9
1.9,99.9
6.3,269.99
0.4,29.9
0.6,52.5
5.9,119.0
1.4,56.99
0.5,29.99
0.3,22.9
0.4,39.9
4.6,219.99
0.35,29.99
0.45,38.4
4.55,35.0
1.55,129.9
0.59,89.9
0.75,39.9
0.15,35.9
1.4,164.9
1.0,108.0
1.0,99.9
0.16,469.0
0.27,299.0
0.45,39.99
0.28,50.0
1.7,125.0
0.44,399.99
1.23,99.9
0.7,81.99
0.55,79.99
1.4,35.0
2.3,20.5
1.05,119.85
11.1,164.0
0.78,44.9
0.15,35.9
0.1,49.9
1.38,89.9
3.58,49.9
0.7,59.9
10.75,279.9
0.55,179.49
10.25,38.9
0.55,66.0
2.84,179.0
0.16,138.0
0.18,30.0
0.2,34.99
5.3,71.0
0.24,37.9
0.9,99.9
0.85,35.0
0.82,72.62
2.3,114.9
17.0,286.4
9.0,385.0
1.85,59.9
1.6,129.99
0.6,79.9
0.85,175.0
2.0,104.99
0.16,45.99
3.4,45.0
0.22,165.0
1.6,129.99
0.6,131.99
0.56,229.99
0.46,233.91
0.2,18.0
2.0,294.9
0.84,329.99
0.57,28.9
0.4,194.25
0.2,58.99
30.0,1914.58
0.3,29.99
1.4,59.9
1.95,54.9
0.1,189.0
0.15,29.99
6.9,79.0
0.87,689.0
4.34,134.9
1.1,889.99
1.4,82.99
4.6,45.99
1.2,133.0
0.15,24.9
0.7,66.29
1.6,99.0
0.65,134.9
0.2,19.9
0.2,29.0
0.1,25.0
1.6,91.4
0.2,24.9
1.8,99.9
5.85,159.0
0.35,56.99
0.46,110.65
16.05,92.0
7.65,120.0
0.34,199.0
0.95,59.9
0.64,299.9
2.95,149.0
0.15,39.9
1.5,35.0
0.5,10.5
0.5,99.99
0.64,816.0
0.4,7.63
1.1,69.9
1.15,99.0
1.6,12.99
0.85,193.8
0.35,96.0
1.3,80.0
1.17,139.9
0.65,45.5
3.0,379.9
0.15,89.99
5.5,88.99
1.4,85.0
0.15,79.9
4.3,150.0
11.6,269.0
0.18,19.9
3.01,70.97
0.7,69.9
0.3,10.0
1.45,221.99
6.55,119.99
0.23,68.0
0.3,27.99
5.65,189.0
1.05,72.99
1.9,70.0
9.4,109.9
6.0,15.6
0.68,99.99
0.2,13.65
11.88,79.99
1.56,123.9
0.35,27.3
0.18,47.49
0.5,219.99
0.1,24.5
1.65,45.9
0.2,99.9
7.7,78.71
0.2,49.0
5.2,99.99
0.8,48.14
1.3,54.0
0.2,59.9
1.1,34.9
1.7,149.0
0.4,199.99
0.15,89.19
0.25,79.9
1.9,119.9
1.83,97.95
0.05,13.99
0.4,159.99
1.92,89.9
1.87,29.5
3.1,419.9
4.82,76.38
5.0,174.9
0.3,42.9
0.3,27.99
1.1,269.1
1.6,49.99
0.1,19.9
0.35,56.99
0.4,56.99
0.3,31.9
1.45,69.9
1.6,119.9
0.24,43.9
0.5,320.99
1.38,89.9
0.35,64.99
1.3,69.9
0.12,25.9
0.67,29.0
9.95,129.95
1.6,169.9
0.52,149.87
0.3,45.95
0.2,9.9
0.18,45.0
0.75,89.9
1.15,269.0
0.35,499.99
1.2,36.99
1.61,35.9
0.2,44.99
0.7,24.9
0.65,30.0
0.05,22.22
0.57,309.0
2.6,69.9
2.84,129.99
0.1,23.99
1.0,389.0
0.97,114.9
8.35,134.9
0.7,39.99
0.2,34.99
0.19,49.9
0.66,69.9
0.23,35.9
14.0,850.0
1.2,129.6
0.35,27.99
0.55,129.9
2.5,50.0
10.7,169.0
5.9,68.65
0.42,86.8
0.1,27.5
10.7,500.0
0.2,42.0
0.35,49.0
2.95,299.0
1.7,279.99
6.55,159.99
6.4,169.0
3.88,179.17
0.7,122.99
1.5,59.9
0.2,14.6
0.75,99.9
0.2,18.0
6.2,154.19
0.18,19.9
0.15,13.65
1.8,113.0
0.4,49.9
19.2,253.52
0.1,119.9
0.2,135.0
0.15,59.9
1.05,54.99
1.98,89.9
1.4,139.0
0.8,32.9
0.15,25.99
0.2,29.9
0.35,39.0
0.5,89.0
0.75,38.4
0.34,199.0
0.8,42.99
0.25,49.0
0.2,45.0
0.1,39.99
1.07,54.0
1.5,49.0
1.0,45.9
1.4,35.0
0.1,49.99
17.55,129.9
7.9,169.9
0.44,164.9
0.68,20.49
0.5,41.9
0.55,117.7
0.18,12.9
2.7,19.0
1.2,142.5
7.55,269.0
0.1,25.9
0.57,32.0
10.72,149.99
0.9,35.99
0.21,119.99
0.85,35.0
1.85,148.0
3.5,141.0
7.0,58.9
5.5,60.9
0.3,99.0
0.1,86.0
0.25,22.9
0.45,394.65
7.62,229.04
8.68,116.99
0.98,23.9
0.26,32.9
5.15,64.9
0.21,61.4
0.47,39.99
2.72,125.0
0.45,10.99
2.2,46.98
1.0,79.0
8.16,449.0
0.17,44.0
0.16,10.0
0.32,42.0
1.8,304.91
0.09,44.0
0.25,29.98
1.4,139.9
0.65,53.2
1.3,125.0
0.1,18.9
0.22,34.99
0.3,38.9
0.38,32.49
1.45,104.53
0.25,29.0
2.55,129.49
2.0,59.9
7.55,118.5
7.6,189.9
0.05,81.99
1.53,119.9
6.66,175.0
0.7,48.0
0.24,45.99
0.15,49.9
1.03,65.0
2.6,75.0
0.2,34.99
1.2,97.59
8.75,29.9
0.25,29.9
2.4,78.0
0.65,53.0
0.4,72.0
0.9,48.9
0.3,36.9
0.52,49.9
3.11,128.9
0.3,227.9
3.76,328.9
1.41,149.99
7.7,99.0
0.5,69.9
2.5,69.9
0.25,29.9
1.4,148.0
0.15,49.9
0.1,59.9
4.34,146.01
6.35,187.0
0.7,57.9
0.15,18.9
2.12,86.9
0.2,160.0
0.25,55.0
0.15,34.9
0.42,30.99
0.15,89.9
1.75,139.9
0.5,89.9
9.5,599.0
2.6,219.9
0.25,23.7
1.85,59.9
0.15,20.9
1.82,89.9
1.2,99.99
0.34,56.9
0.1,57.5
13.35,99.9
1.65,49.9
1.3,179.9
0.25,42.9
1.8,49.0
10.25,120.0
0.6,53.0
0.18,55.0
0.58,115.0
1.3,74.99
0.55,98.9
22.35,259.9
16.65,186.97
0.1,46.89
0.15,17.99
0.2,24.4
0.15,89.9
0.3,36.9
0.15,27.9
1.38,89.9
0.83,229.9
0.55,35.9
0.2,22.32
0.6,48.9
0.68,1399.9
5.64,99.75
11.5,166.0
0.45,39.95
0.17,89.8
0.5,29.99
1.6,59.9
0.12,14.49
0.3,33.99
0.48,89.0
0.95,83.0
0.25,59.0
1.4,550.0
0.8,69.9
0.25,76.0
7.55,49.0
0.25,149.0
0.5,19.9
1.62,239.99
1.72,59.99
0.6,39.9
1.2,48.65
0.35,56.99
0.5,18.9
0.3,27.99
4.35,129.9
0.15,14.9
1.65,59.9
0.39,41.47
9.0,79.99
1.3,43.0
1.6,27.9
0.18,19.9
2.7,21.9
0.5,119.99
7.5,69.99
0.06,11.27
0.25,155.0
2.9,87.74
0.18,29.99
9.65,219.0
1.2,49.9
1.45,24.99
0.25,26.0
0.2,30.0
2.3,109.9
1.52,124.8
7.22,69.0
0.57,50.99
0.75,110.9
0.44,146.0
0.35,54.99
17.95,880.0
0.28,59.0
0.85,148.0
1.8,75.0
0.25,78.0
0.25,59.0
0.4,122.99
0.52,31.5
0.4,59.0
1.25,49.9
1.75,49.0
17.55,139.9
0.35,16.5
1.3,102.9
0.75,34.9
0.18,229.9
0.6,35.9
0.19,195.9
4.8,99.0
0.32,569.0
0.37,36.49
0.3,29.9
0.45,215.0
0.95,69.9
6.55,129.0
0.61,198.0
0.9,110.0
1.47,69.9
0.62,179.9
1.5,689.89
8.15,249.9
2.42,146.99
8.45,235.0
4.27,89.8
0.1,19.9
0.15,94.99
0.2,24.99
0.1,28.49
9.62,109.9
0.25,23.0
0.25,49.0
0.45,59.0
0.15,19.9
12.7,359.0
3.1,85.0
0.45,394.65
0.7,58.0
1.55,119.0
1.25,35.99
0.65,47.9
0.5,41.9
0.4,239.9
2.45,59.9
0.5,59.9
0.3,93.9
0.2,9.99
2.6,1299.9
0.15,19.9
0.85,35.0
0.35,57.8
1.55,120.0
2.7,117.99
0.2,13.65
8.2,69.9
0.17,84.0
7.3,114.9
0.25,21.96
0.2,27.9
0.15,18.99
2.3,299.99
0.85,43.98
1.3,29.75
0.7,12.9
0.32,198.9
0.85,99.0
0.16,699.9
0.22,117.79
0.4,359.0
2.45,199.9
0.82,99.9
1.7,36.8
1.3,120.0
0.3,34.99
0.7,34.9
0.3,140.99
0.2,58.99
0.3,29.99
1.25,96.0
0.1,149.65
0.25,9.9
9.7,103.97
0.49,68.0
0.5,34.9
6.45,128.8
0.05,139.9
1.8,49.9
0.22,117.79
0.52,44.9
0.25,39.99
0.55,152.99
0.2,110.32
0.18,42.93
0.3,33.9
0.5,69.99
0.85,38.4
1.05,220.0
0.53,32.0
0.3,80.0
10.0,553.99
1.2,99.99
0.5,46.99
0.5,29.99
0.25,39.0
0.18,74.9
0.36,18.89
1.0,24.9
0.15,79.9
0.5,54.9
0.14,144.41
0.65,53.0
8.55,55.6
0.5,26.0
3.6,265.9
2.25,399.99
0.75,69.0
1.75,53.9
1.65,59.9
16.7,799.0
0.82,220.91
0.5,28.69
12.3,225.0
0.2,39.9
1.18,16.37
1.85,89.0
0.8,45.9
0.15,17.0
2.45,189.9
0.2,76.49
0.82,72.62
0.4,43.0
1.85,149.9
0.6,34.99
0.25,54.99
0.05,13.99
0.6,133.0
0.11,69.0
2.2,20.5
0.2,7.49
1.5,89.9
0.65,96.0
6.7,142.9
3.0,269.9
0.62,46.9
0.2,19.9
0.84,109.9
1.38,89.9
0.2,31.9
5.0,379.0
0.16,61.9
0.35,107.0
0.45,129.77
1.55,59.9
1.25,99.9
1.05,45.14
0.3,49.9
0.25,29.84
16.13,179.9
6.05,109.99
0.32,22.6
0.27,22.0
1.05,58.0
0.6,169.0
1.25,220.0
0.25,44.0
2.1,94.9
0.34,55.0
29.7,600.0
0.95,54.45
0.4,49.0
0.2,27.3
0.8,45.9
0.85,35.0
0.45,22.0
0.75,89.9
0.15,59.99
0.52,75.0
16.75,500.0
0.2,265.0
0.3,395.65
0.15,75.0
0.8,79.9
0.55,39.0
0.2,53.99
0.26,37.0
0.3,259.9
1.25,89.9
0.45,179.9
1.95,95.9
0.71,668.0
2.08,144.98
7.22,238.9
1.3,99.9
5.9,238.0
1.9,127.0
1.2,105.0
0.35,63.8
6.55,149.0
8.95,128.0
0.36,348.8
0.8,47.9
7.0,59.9
0.7,109.9
0.2,58.99
0.2,25.49
0.05,19.99
1.0,189.99
0.7,38.0
0.2,19.9
0.4,59.99
12.2,259.9
11.32,104.0
0.7,59.9
1.18,179.99
2.47,42.1
10.38,159.9
1.5,49.9
2.2,59.9
0.3,55.0
0.18,12.88
0.35,25.79
7.81,128.9
0.34,165.0
13.58,270.0
1.0,66.0
0.2,49.9
0.68,109.0
0.25,49.99
6.25,422.0
1.08,249.99
1.85,99.99
3.1,52.0
0.95,106.9
0.8,56.5
1.84,72.0
0.1,159.99
2.13,179.9
0.8,175.9
0.2,110.32
12.9,209.0
3.4,79.99
0.55,89.9
2.6,69.9
0.3,56.0
1.45,82.99
1.28,112.33
0.6,37.95
9.75,103.99
0.15,64.9
0.95,38.4
0.6,49.9
0.45,37.9
1.5,59.0
0.3,44.0
0.18,46.4
5.35,130.0
0.3,24.99
0.73,124.9
1.6,69.0
11.45,214.0
0.52,349.9
0.56,21.9
0.1,10.99
0.15,49.9
0.35,24.99
0.12,191.88
2.6,69.9
0.4,180.0
2.4,193.0
15.7,299.9
0.2,49.0
17.25,70.0
0.25,49.0
4.35,129.9
0.15,8.5
6.04,80.0
7.15,810.0
0.48,70.89
0.5,13.99
0.2,19.77
1.65,59.9
1.95,149.97
0.2,31.9
0.1,16.9
0.2,29.0
2.15,59.9
1.65,100.0
0.88,56.99
0.85,20.9
0.55,39.0
0.7,79.27
2.0,149.0
0.28,18.95
0.5,45.9
1.0,24.9
0.25,103.46
0.55,91.49
0.6,29.9
2.9,219.99
0.4,106.0
0.7,40.0
0.1,24.9
2.49,1890.0
0.1,49.9
0.15,13.99
0.9,99.9
1.05,24.9
0.18,229.9
0.58,115.0
0.3,59.9
1.15,249.99
0.7,29.9
0.18,12.88
9.75,205.0
0.62,128.9
1.3,79.9
0.8,96.0
0.65,79.9
13.9,359.0
0.25,89.99
16.0,399.9
0.15,39.99
0.25,18.99
1.4,44.35
1.25,129.5
0.35,39.5
1.3,12.99
0.4,34.0
0.6,48.99
5.85,39.9
1.1,69.9
8.9,78.0
10.8,149.9
1.23,59.9
0.21,24.4
6.5,225.0
1.6,107.87
1.55,79.9
1.6,99.0
1.48,75.5
6.3,135.0
0.3,529.0
0.6,69.0
0.2,9.99
0.3,129.9
2.6,69.9
1.52,379.9
10.8,699.9
0.2,80.0
1.22,47.0
4.2,194.9
0.3,116.0
0.56,118.0
0.6,39.0
0.3,69.0
0.25,199.0
0.7,40.0
3.0,99.9
1.82,86.9
0.2,21.0
1.1,123.9
0.75,25.9
0.82,72.62
0.35,127.9
1.25,37.5
0.3,94.9
0.4,510.99
3.45,162.0
0.2,39.9
0.15,75.0
2.75,65.0
0.15,59.91
0.3,59.9
0.2,150.99
0.65,79.0
1.8,150.0
1.7,43.8
2.28,88.9
9.08,119.99
0.2,22.32
1.85,127.0
0.45,178.0
1.7,149.9
0.3,24.7
0.9,29.9
14.5,99.0
0.72,79.9
6.5,179.0
1.3,138.0
0.75,370.0
0.2,29.0
0.73,84.9
0.25,31.9
0.48,399.9
0.72,197.5
0.8,59.85
2.7,199.9
0.55,27.95
1.55,59.9
0.4,69.9
0.15,54.9
0.17,130.0
0.44,69.9
6.66,175.0
0.15,26.9
2.8,129.0
0.05,135.0
1.5,89.9
0.2,58.99
1.02,136.0
0.2,19.0
0.22,49.9
3.41,809.1
0.65,489.0
1.5,79.0
0.1,10.99
8.05,388.9
0.5,39.0
0.53,149.9
1.85,148.0
0.25,79.0
2.85,48.9
0.4,19.9
0.3,45.0
0.15,19.0
0.31,230.0
0.15,129.97
2.63,99.9
0.35,27.99
0.9,64.99
0.55,84.99
1.3,89.9
3.0,51.45
0.18,47.49
1.2,99.99
0.45,85.0
0.2,19.99
0.92,149.84
5.85,149.0
0.8,119.9
0.6,69.9
0.95,164.99
0.75,99.9
0.35,20.0
0.25,24.0
2.3,299.99
0.05,199.0
0.4,116.9
0.4,45.9
2.6,1549.99
1.11,48.9
7.6,569.95
5.5,379.0
0.45,102.0
1.04,41.0
0.24,109.9
0.3,80.0
0.07,9.8
5.55,154.0
0.26,190.0
0.25,35.9
0.2,149.99
5.85,480.0
0.65,16.9
1.2,42.99
0.2,20.3
0.18,47.49
6.5,169.0
0.2,160.0
0.25,12.99
2.0,113.0
1.2,48.9
0.09,39.0
0.28,93.0
0.35,107.0
3.3,115.0
1.3,99.0
0.15,110.32
0.32,29.99
1.3,73.9
2.6,75.0
1.9,127.0
0.65,59.9
0.28,193.9
1.65,49.9
1.1,40.8
0.13,43.9
3.1,107.0
0.25,89.99
1.4,80.0
0.9,209.0
0.3,523.19
5.15,359.9
1.3,159.0
1.8,66.99
0.25,79.9
0.2,84.9
0.5,75.0
5.0,169.9
0.2,9.9
1.4,59.99
0.5,9.6
0.21,29.9
5.4,101.99
1.6,97.81
0.55,229.9
1.65,49.9
1.1,79.9
1.55,110.9
0.75,32.9
0.5,98.79
1.8,159.0
0.3,89.9
0.1,19.9
0.12,12.47
0.1,19.99
0.3,9.99
0.35,89.9
0.1,60.0
0.2,40.0
1.58,70.25
1.4,74.9
0.25,219.0
0.33,11.49
0.65,212.4
1.2,49.99
0.65,219.0
0.66,789.99
0.42,74.9
0.35,39.99
1.3,42.0
0.35,750.0
0.88,399.0
0.25,25.5
0.3,80.0
1.1,104.0
0.3,99.0
0.3,22.9
7.0,129.9
13.35,69.9
0.85,35.0
0.25,16.9
0.37,259.9
0.75,81.18
0.55,79.99
0.05,69.9
0.8,59.99
0.2,69.99
2.8,99.9
0.3,12.0
10.95,79.0
13.1,388.0
0.6,75.0
0.3,29.9
1.55,59.0
6.05,89.99
0.34,40.0
0.1,79.9
0.1,40.5
0.15,38.89
2.75,1200.0
7.6,69.99
0.29,255.0
0.5,29.0
1.3,88.3
6.55,149.0
1.58,299.99
0.3,29.99
0.2,20.59
0.15,49.9
10.7,649.0
0.3,129.0
13.4,119.9
5.95,89.99
0.4,39.9
1.0,64.9
0.22,45.0
10.07,69.99
0.2,110.32
4.05,244.9
0.15,34.9
0.2,69.9
5.95,143.8
1.3,120.0
1.9,180.0
2.3,78.9
9.02,115.9
0.25,17.9
0.5,35.0
0.25,39.99
1.75,59.9
0.6,25.0
0.67,60.0
1.62,74.9
0.6,25.0
0.75,356.0
3.3,220.0
1.32,44.9
1.2,55.0
0.2,20.3
0.2,35.0
9.72,139.98
7.72,119.99
0.4,34.99
0.52,349.9
7.1,21.5
0.1,32.5
1.11,84.98
2.2,84.99
1.8,163.99
2.25,159.99
1.4,50.0
0.2,45.65
0.61,198.9
0.25,15.99
9.15,215.0
0.15,29.99
0.05,21.9
0.2,58.99
1.0,184.0
1.38,89.9
0.22,21.99
0.1,35.0
1.15,98.5
0.15,25.0
0.5,66.9
1.45,39.6
1.4,399.0
0.4,61.99
3.5,349.9
8.35,59.9
0.5,41.9
0.1,27.9
0.4,325.0
1.6,63.99
0.2,27.9
0.9,59.9
0.2,89.0
1.1,148.0
6.45,169.0
0.3,39.9
0.32,29.0
1.15,72.9
7.0,59.9
1.09,195.9
6.7,169.9
14.2,32.9
2.5,99.9
0.65,53.0
0.35,79.99
16.75,1230.0
0.25,134.99
1.5,59.9
0.85,35.0
10.05,138.0
8.4,249.9
0.8,70.0
1.36,140.9
0.25,29.99
0.6,25.0
0.05,99.25
0.34,77.98
0.33,85.9
2.2,119.9
0.8,43.9
1.8,33.02
6.9,119.0
3.5,249.0
0.45,112.49
0.15,24.5
0.07,9.8
0.55,12.0
0.2,27.3
0.26,32.97
0.2,149.0
0.1,18.99
19.7,95.0
