freight_value,freight_ratio
13.21,0.12
13.46,0.118
27.49,0.162
15.71,0.132
28.28,0.219
15.1,0.303
12.79,0.321
22.6,0.178
9.34,0.268
13.19,0.104
23.22,0.181
22.78,0.08
7.96,0.255
18.39,0.167
19.43,0.114
16.12,0.082
60.29,0.242
19.94,0.046
19.04,1.511
13.47,0.528
56.26,0.216
18.23,1.825
31.1,0.105
14.8,0.45
16.32,0.363
12.65,0.169
18.1,0.238
16.67,0.128
41.3,0.351
18.27,0.183
14.05,0.212
34.15,1.139
15.01,0.125
14.65,0.212
14.15,0.248
8.51,0.051
16.08,0.095
12.64,0.13
7.94,0.094
12.94,0.112
47.51,0.34
9.5,0.087
7.39,0.623
17.67,0.295
18.14,0.379
29.08,0.264
15.14,0.275
17.3,0.079
10.11,0.055
16.39,0.183
88.37,0.353
26.9,0.073
20.21,0.507
17.68,0.147
22.93,0.584
7.78,0.259
19.19,0.124
19.15,0.168
18.09,0.145
13.48,0.193
18.37,0.115
12.79,0.328
10.91,0.084
12.79,0.414
18.05,0.157
26.92,0.15
20.0,0.837
9.27,0.32
22.26,0.282
14.1,0.442
12.3,0.095
10.53,0.066
11.85,0.396
15.46,0.086
45.3,0.378
23.77,0.159
15.1,0.458
14.38,0.097
58.0,0.097
24.86,0.043
7.46,0.267
15.83,0.063
48.45,0.44
45.12,0.303
8.28,0.108
14.97,0.045
53.41,0.267
10.96,0.731
20.18,0.311
14.08,0.288
12.79,0.993
18.26,0.279
17.07,0.087
7.78,0.614
7.88,0.054
9.49,0.063
19.84,0.794
37.54,0.062
19.6,0.794
41.0,1.025
15.57,0.158
34.15,2.457
27.05,0.26
9.94,0.166
15.31,0.191
16.83,0.06
8.88,0.297
16.11,0.413
11.03,0.184
21.09,0.125
22.44,0.053
22.09,0.96
26.89,0.586
83.97,0.56
17.99,0.073
15.14,0.101
22.06,1.232
24.62,0.117
18.23,2.374
23.37,0.207
15.48,0.149
13.46,0.119
17.06,0.61
17.55,0.029
13.85,0.117
29.18,0.328
18.3,0.656
19.14,0.129
13.67,0.124
7.39,0.297
17.52,0.202
16.79,0.336
21.15,0.212
14.02,0.035
14.1,0.403
27.07,0.246
15.1,0.863
14.78,0.099
19.66,0.199
8.85,0.089
14.52,0.583
9.74,0.195
17.55,0.146
15.23,0.693
7.39,0.206
12.69,0.302
16.79,0.602
12.8,0.193
18.23,0.38
19.46,0.499
7.78,0.173
9.34,0.156
38.15,0.225
18.06,0.055
14.06,0.207
7.78,0.2
16.79,0.562
16.21,0.249
16.05,0.845
17.16,0.132
23.59,0.088
7.39,0.465
7.97,0.238
17.62,0.338
25.12,0.279
35.0,0.443
9.44,0.105
10.98,0.034
16.56,0.064
14.1,1.18
7.53,0.193
26.89,1.389
13.71,0.43
11.9,0.119
7.78,0.782
15.88,0.114
11.36,0.232
7.78,0.327
16.05,1.155
23.28,0.337
17.6,0.353
8.72,0.881
9.41,0.473
16.5,0.066
17.74,0.254
10.21,0.146
19.54,0.391
24.43,0.091
19.59,0.531
14.08,0.403
69.96,0.318
9.34,0.587
44.16,0.849
8.14,0.143
107.3,0.772
11.73,0.199
15.1,0.522
15.1,1.079
19.72,0.263
7.88,0.079
16.67,0.245
9.26,0.093
15.1,0.539
7.39,0.37
7.39,0.185
7.87,0.114
16.11,0.359
11.15,0.193
15.61,0.127
7.58,0.165
37.53,0.188
18.7,0.117
17.37,0.193
9.96,0.05
36.38,0.34
37.36,0.393
15.98,0.091
50.85,1.646
7.39,0.176
15.73,0.112
7.74,0.112
27.5,0.348
35.53,0.182
8.27,0.233
20.7,0.415
22.93,0.588
13.47,0.711
14.1,0.882
18.32,0.291
50.99,0.51
11.85,0.484
24.84,1.777
13.48,0.105
15.04,0.08
20.69,0.345
37.03,0.135
14.13,0.098
21.7,0.145
15.23,1.089
15.1,0.844
15.1,0.759
1.2,0.024
7.5,0.215
15.79,0.316
8.27,0.243
44.05,0.232
7.87,0.282
12.93,0.152
14.82,0.097
28.96,0.362
18.95,0.032
5.24,0.052
22.13,0.092
15.1,0.95
18.97,0.365
29.41,0.33
9.19,0.077
19.49,0.115
16.12,0.231
14.61,0.119
7.78,0.533
23.52,0.277
24.26,0.122
25.54,0.15
9.09,0.202
16.35,0.192
9.26,0.332
55.76,0.186
13.21,0.107
15.1,0.397
19.75,0.247
17.64,0.36
12.79,0.409
14.1,0.403
26.11,0.374
14.11,0.343
15.27,0.278
36.02,0.361
17.64,0.36
15.91,0.159
15.36,0.226
9.17,0.153
12.18,0.087
22.55,0.253
9.02,0.073
26.32,0.177
14.58,0.768
12.83,0.128
19.95,0.473
47.09,0.506
26.46,0.22
16.57,0.064
19.56,0.369
11.85,0.276
14.9,0.143
18.79,0.085
18.25,0.83
24.84,0.71
18.23,0.149
12.69,0.254
14.44,0.291
16.25,0.232
19.0,0.147
20.18,0.168
48.39,0.162
19.25,0.241
14.52,2.104
15.49,0.092
62.99,0.6
13.72,0.137
19.77,0.028
14.29,0.281
14.16,0.24
25.85,0.178
15.31,0.512
60.42,0.356
22.12,0.375
41.43,0.074
20.57,0.345
23.42,0.234
15.95,0.094
8.29,0.169
15.79,2.256
20.54,0.137
31.63,0.042
13.65,0.152
15.38,0.385
61.33,0.41
21.15,0.849
12.43,0.178
16.49,0.11
24.84,1.308
7.78,0.311
17.93,0.022
23.6,0.066
14.52,0.214
38.84,0.262
14.74,0.106
15.1,0.504
15.6,0.128
38.82,0.518
27.32,0.516
15.74,0.128
18.12,0.145
19.41,0.084
44.68,0.135
9.94,0.452
11.81,0.169
13.66,0.149
13.69,0.274
65.89,0.511
7.39,0.255
22.19,0.355
12.54,0.084
16.79,0.56
18.23,0.796
18.87,0.222
9.82,0.1
13.81,0.14
43.19,0.389
18.41,0.41
17.64,0.137
15.37,0.173
12.7,0.245
19.9,0.197
24.26,0.128
15.1,0.508
15.1,0.702
13.45,0.22
19.53,0.244
0.01,0.0
18.85,0.171
41.01,1.768
19.46,0.278
22.99,0.397
24.16,0.121
13.68,0.144
47.07,0.206
8.72,0.336
25.63,0.712
21.15,1.071
12.65,0.127
18.23,0.829
15.98,0.062
14.1,0.644
10.51,0.027
24.25,0.102
15.48,0.173
15.1,0.433
7.78,0.216
25.46,0.286
18.35,0.524
13.03,0.132
3.5,0.088
15.79,0.544
13.1,0.057
20.16,0.21
18.28,0.083
17.63,0.588
18.66,0.233
9.37,0.117
13.08,0.177
26.89,0.769
26.78,0.125
35.67,0.794
16.79,0.391
18.2,0.135
18.23,0.456
11.03,0.184
20.08,0.411
11.85,0.967
13.72,0.137
15.79,0.721
7.42,0.324
14.21,0.158
19.44,0.555
12.9,0.117
8.78,0.106
7.86,0.091
15.63,0.124
15.1,0.775
7.78,0.156
15.29,0.26
16.28,0.074
21.15,0.432
12.51,0.089
28.11,0.268
9.27,0.334
13.46,0.084
25.88,0.174
18.69,0.163
27.34,0.183
15.26,0.209
8.04,0.187
10.47,0.032
33.8,1.06
7.78,0.113
19.88,0.201
23.5,0.139
8.3,0.104
14.97,0.077
11.26,0.032
8.72,0.25
21.36,0.142
15.1,0.799
7.94,0.285
8.29,0.461
7.39,0.176
15.45,0.155
33.39,0.248
19.82,0.22
21.4,0.165
18.79,0.192
32.81,0.342
15.1,0.759
15.52,0.144
7.47,0.249
13.63,0.155
13.28,0.133
11.99,0.172
7.39,0.099
17.97,0.118
64.89,0.032
31.27,0.126
19.81,0.165
13.36,0.067
27.5,0.037
23.07,0.462
16.78,0.058
15.65,0.142
17.21,0.717
52.81,0.812
16.73,0.121
13.96,0.103
18.8,0.188
11.74,0.25
7.87,0.528
16.05,0.642
18.17,0.227
9.51,0.04
17.16,0.021
15.1,0.302
18.43,0.236
50.22,1.005
23.35,0.191
13.34,0.534
15.1,0.532
15.23,0.729
21.31,0.164
19.13,0.107
12.74,0.224
19.9,0.034
12.4,0.124
25.73,0.396
16.11,0.418
18.23,1.073
13.44,0.224
17.67,0.361
9.34,0.268
17.14,0.172
15.3,0.255
8.89,0.447
37.03,0.103
16.94,0.171
11.85,0.247
11.85,1.331
14.73,0.023
22.74,0.182
12.43,0.355
16.92,0.246
27.59,0.184
20.43,0.12
13.58,0.221
22.31,0.046
17.94,0.183
9.26,0.071
26.7,0.03
18.31,0.299
16.12,0.311
8.7,0.437
14.1,0.442
17.87,0.201
72.91,0.485
15.54,0.164
65.34,0.113
16.19,0.262
25.35,0.063
25.98,0.26
15.73,0.131
16.11,0.629
17.74,0.254
7.78,0.149
12.43,0.178
7.39,0.111
15.1,0.671
15.2,0.234
23.28,0.583
19.5,0.15
9.34,0.17
19.39,0.281
8.72,0.153
7.78,0.141
20.08,0.167
16.6,0.415
19.44,0.555
10.3,0.117
9.44,0.105
50.43,0.388
11.15,0.279
27.24,0.275
12.83,0.229
8.88,0.178
7.23,0.063
84.52,0.092
15.1,0.606
7.78,0.259
19.97,0.067
18.54,0.265
11.67,0.078
15.24,0.766
18.44,0.108
24.01,0.114
17.51,0.115
18.6,0.146
10.02,0.047
19.31,0.03
17.66,0.299
26.75,0.383
8.88,0.254
17.6,0.353
20.83,0.379
25.38,0.518
9.59,0.139
13.16,0.165
37.27,0.065
16.28,0.096
47.68,0.341
15.12,0.077
8.04,0.187
18.28,0.183
13.85,0.198
14.1,1.283
17.6,0.44
7.39,0.264
14.52,0.73
15.8,0.16
27.52,0.16
7.78,0.132
20.94,0.323
9.34,0.156
21.29,0.027
7.78,0.412
20.74,0.189
18.65,0.075
7.39,1.253
23.54,0.277
16.64,0.066
15.1,0.303
13.7,0.202
16.4,0.552
7.78,0.268
11.85,0.258
13.57,0.172
18.94,0.032
14.43,0.144
17.75,0.25
16.25,0.024
15.47,0.044
3.28,0.174
22.59,0.105
22.03,0.393
29.95,0.499
18.23,0.653
19.66,0.328
13.11,0.094
11.51,0.089
1.55,0.04
17.88,0.199
20.89,0.086
20.56,0.109
66.18,0.479
7.54,0.189
10.96,0.224
11.85,0.263
13.92,0.108
16.28,0.149
43.57,0.118
16.83,0.735
18.2,0.202
18.24,0.917
37.93,0.095
15.14,0.276
7.78,0.141
11.89,0.212
11.85,0.82
17.67,0.295
15.19,0.241
15.34,0.129
18.55,0.291
15.89,0.097
21.15,0.966
14.1,1.283
17.67,0.295
26.03,0.019
13.21,0.169
12.93,0.562
17.16,0.086
17.06,0.903
7.88,0.089
32.15,0.201
17.45,0.033
13.77,0.042
15.1,0.573
67.48,0.087
3.38,0.048
14.1,0.806
19.68,0.281
21.88,0.548
20.45,0.031
13.59,0.167
14.1,0.505
14.1,2.354
27.37,0.23
13.01,0.261
11.15,0.203
7.39,0.211
34.85,0.205
35.95,0.399
20.99,1.235
61.91,0.371
19.74,0.166
17.95,0.18
30.01,0.172
15.7,0.056
47.2,0.043
18.85,0.171
22.85,0.879
13.43,0.228
16.82,0.205
9.03,0.226
11.85,0.269
22.99,0.033
16.4,0.12
15.1,0.844
14.76,0.071
9.25,0.119
34.48,0.021
15.1,0.317
23.32,0.315
19.82,0.22
15.09,0.151
18.01,0.165
2.79,0.109
18.44,0.362
17.2,0.246
22.45,0.095
19.95,0.307
18.48,0.143
18.57,0.098
17.67,0.295
27.4,0.423
22.9,0.166
19.27,0.113
15.1,1.171
25.63,1.833
14.67,0.057
14.1,1.008
35.81,0.512
15.79,0.107
13.0,0.265
7.78,0.391
12.75,0.22
27.72,0.164
17.92,0.598
35.68,0.701
22.93,1.119
16.23,0.056
15.1,0.648
36.91,0.264
15.1,0.352
16.35,0.182
22.8,0.184
50.97,0.395
9.65,0.036
16.11,0.339
8.88,0.269
9.13,0.169
12.3,0.176
14.52,1.631
7.78,0.13
13.64,0.097
14.52,0.73
13.12,0.199
15.23,1.692
31.99,0.2
17.06,0.588
27.51,0.423
8.35,0.077
10.82,0.174
11.74,0.474
7.58,0.168
82.86,0.327
29.51,0.187
18.23,0.494
32.92,0.122
37.97,0.775
18.16,0.14
14.32,0.175
18.54,0.742
16.26,0.229
19.32,0.773
15.1,0.317
7.78,0.12
14.1,0.271
31.68,0.161
16.7,0.159
27.08,0.352
27.21,0.209
17.16,0.086
19.13,0.107
42.93,0.335
16.01,0.089
16.05,0.119
18.2,0.202
15.17,0.253
18.03,0.079
19.65,0.333
0.0,0.0
10.47,0.032
18.23,0.633
44.55,0.178
17.23,0.123
8.29,1.036
29.03,0.323
38.74,0.043
12.83,0.184
33.53,0.135
15.1,1.589
16.0,0.09
7.94,0.162
16.11,0.351
12.79,0.484
15.38,0.171
14.56,0.406
14.42,0.122
21.11,0.069
27.13,0.319
20.67,0.232
12.37,0.075
15.1,0.504
19.99,0.185
15.71,0.087
16.43,0.069
18.65,0.239
15.1,0.759
13.85,0.199
15.1,0.378
18.45,0.148
38.51,0.03
18.82,0.095
23.31,0.518
22.85,0.065
7.78,0.268
21.8,0.041
8.72,0.203
12.97,0.295
42.34,0.126
17.92,0.607
12.65,0.169
13.71,0.548
11.83,0.132
14.13,0.236
24.88,0.445
21.94,0.14
51.06,1.042
15.24,0.299
64.0,0.133
9.34,0.156
10.38,0.104
16.66,0.096
21.15,0.223
14.37,0.131
15.2,0.234
13.28,0.149
26.27,0.128
12.79,0.643
11.85,0.1
34.7,0.269
19.84,0.071
7.46,0.267
14.87,0.094
15.04,0.111
15.56,0.223
21.26,0.185
14.52,0.338
7.98,0.058
15.43,0.326
15.11,0.076
30.8,0.116
11.85,0.296
7.81,0.098
62.81,0.786
22.23,0.297
9.03,0.226
11.76,0.147
1.45,0.021
27.53,0.411
59.49,0.397
21.36,0.027
68.09,0.504
12.14,0.081
15.23,0.381
17.61,0.339
14.18,0.057
8.56,0.044
12.86,0.461
13.21,1.101
16.44,0.458
7.81,0.098
14.1,0.353
25.8,0.235
7.57,0.172
15.92,0.132
15.53,0.091
9.34,0.283
10.47,0.032
7.53,0.137
84.68,0.652
17.6,0.353
71.53,0.078
19.53,0.408
19.04,0.898
25.63,0.571
55.96,0.075
15.23,0.439
18.65,0.169
16.14,0.108
0.09,0.003
16.32,0.628
20.29,0.047
8.88,0.467
42.83,0.145
7.78,0.195
22.32,0.406
24.12,0.403
17.78,0.446
10.94,0.137
19.22,0.214
10.96,0.85
18.33,0.282
17.6,0.362
23.91,0.126
73.59,0.263
21.17,0.118
11.73,0.168
15.1,0.522
19.8,0.22
27.98,0.174
16.19,0.265
9.45,0.053
16.11,0.384
7.9,0.086
14.1,0.706
17.41,0.125
15.11,0.398
23.79,0.133
16.11,0.339
15.37,0.394
14.1,0.362
16.11,0.42
17.37,0.109
17.63,0.504
59.06,1.48
24.84,0.715
8.96,0.082
35.9,0.12
14.21,0.115
20.76,0.081
14.76,0.134
19.32,0.407
11.85,0.79
13.52,0.386
16.11,0.343
13.54,1.246
15.01,0.15
22.53,0.064
8.29,0.197
7.77,0.155
3.68,0.046
17.75,0.095
34.28,0.301
7.39,0.185
8.72,0.379
11.73,0.199
14.45,0.14
14.16,0.24
82.92,0.361
21.15,0.705
14.52,1.332
16.79,0.844
23.57,0.236
9.2,0.144
12.8,0.643
15.1,0.44
17.63,0.321
29.26,0.225
13.44,0.224
115.21,0.072
16.33,0.176
12.83,0.183
66.92,0.096
8.29,0.119
11.73,0.199
19.06,0.113
11.85,0.474
15.1,0.659
16.37,0.298
11.85,0.305
63.61,0.167
14.1,1.151
13.11,0.138
20.8,0.594
16.19,0.231
13.09,0.211
16.67,0.128
13.79,0.125
18.45,0.225
11.81,0.197
25.59,0.066
18.21,0.309
11.74,0.339
15.1,0.604
32.6,0.117
12.69,0.276
19.59,0.401
26.48,0.027
15.31,0.192
21.86,0.126
8.47,0.037
19.46,0.278
16.05,0.647
14.98,0.155
20.27,0.082
8.35,0.08
17.66,0.299
18.51,0.207
17.52,0.202
9.36,0.177
11.98,0.176
17.19,0.493
16.35,0.192
7.42,0.33
12.81,0.582
18.06,0.156
23.62,0.182
15.1,0.759
14.52,0.351
12.79,0.256
8.82,0.098
13.01,0.261
13.49,0.104
14.25,0.201
18.33,0.244
13.44,0.224
18.62,0.176
14.12,1.177
19.29,0.114
14.69,0.044
13.86,0.347
21.73,0.234
15.39,0.168
19.75,0.271
18.3,0.304
15.1,0.504
12.55,0.21
17.53,0.149
17.6,0.441
15.23,0.381
22.62,0.174
23.36,0.292
17.6,0.353
21.15,0.225
11.26,0.331
17.86,0.203
15.5,0.082
7.42,0.33
18.59,0.533
8.94,0.32
16.45,0.168
15.1,0.521
17.75,0.148
15.1,1.68
15.75,0.111
7.78,0.389
29.68,0.159
15.14,0.275
36.02,0.361
10.96,0.612
24.19,0.103
18.18,0.121
7.39,0.164
28.04,0.1
13.08,0.328
16.11,1.613
22.24,0.297
21.97,0.147
10.96,0.354
16.7,0.124
33.82,0.019
12.07,0.161
46.12,0.195
9.44,0.185
14.1,0.372
22.48,0.563
15.79,0.544
14.1,0.404
15.11,0.329
22.06,1.616
7.71,0.282
9.34,1.583
16.01,0.089
9.34,0.315
16.32,0.282
16.79,0.624
17.52,0.096
13.44,0.224
20.74,0.209
69.39,0.193
22.63,0.089
24.92,0.196
15.1,0.387
37.09,0.256
16.39,0.182
50.84,0.154
43.38,1.239
8.27,0.332
16.05,0.488
9.35,0.123
45.09,0.501
16.15,0.248
16.68,0.239
109.96,0.058
12.79,0.278
15.23,1.538
14.79,0.214
18.23,0.405
14.1,1.567
45.09,0.501
26.67,0.581
38.47,0.427
44.55,0.07
16.54,0.138
22.06,0.441
0.0,0.0
16.79,0.526
18.96,0.542
22.0,0.222
17.75,0.25
10.96,0.459
16.36,0.071
14.13,0.236
29.59,0.174
17.74,0.254
7.39,0.242
16.74,0.12
15.1,0.687
21.36,0.165
7.61,0.154
10.96,0.219
19.32,0.387
17.84,0.21
18.51,0.206
14.48,0.069
16.23,0.216
23.42,0.195
19.63,0.401
33.29,0.258
14.33,0.102
36.18,0.804
15.4,0.358
16.11,0.323
14.91,0.055
7.89,6.575
16.13,0.307
15.11,0.329
7.78,0.311
22.09,0.152
16.74,0.239
23.2,0.078
17.04,0.042
12.46,0.069
15.37,0.22
10.06,0.077
18.52,0.309
7.39,0.494
17.67,0.295
16.49,0.157
13.49,0.229
26.25,0.292
45.47,0.314
48.74,0.168
9.55,0.281
28.05,0.11
35.67,0.941
18.16,0.14
16.92,0.514
15.23,0.436
10.54,0.22
16.06,0.309
18.16,0.162
16.39,0.089
17.14,0.172
19.94,0.199
16.96,0.089
23.33,0.905
17.27,0.173
24.72,0.291
14.1,0.329
21.81,0.316
18.4,0.155
13.5,0.196
28.18,0.035
16.79,0.569
133.3,0.533
8.88,0.197
138.23,0.465
15.35,0.181
18.2,0.052
37.61,0.279
12.59,0.081
9.0,0.257
7.78,0.173
22.99,0.329
17.92,0.359
19.97,0.339
19.55,0.059
8.51,0.047
22.37,0.356
16.26,0.054
19.04,0.509
15.88,0.254
15.23,0.279
10.96,0.275
15.1,0.504
57.57,0.446
19.23,0.033
23.08,0.042
17.92,0.896
18.23,0.868
20.57,0.457
16.76,0.048
8.82,0.126
39.14,0.049
15.49,0.149
25.97,0.262
12.69,0.398
9.1,0.118
41.19,0.319
7.39,0.411
14.92,0.089
13.13,0.134
22.85,1.534
17.56,0.11
97.16,0.529
20.08,0.236
14.44,0.162
16.18,0.27
15.38,0.173
54.35,0.217
33.99,0.2
12.74,0.224
17.63,0.252
15.62,0.125
18.71,0.09
7.78,0.311
15.86,0.1
17.19,0.573
16.11,0.358
17.54,0.111
15.1,0.387
14.51,0.242
19.32,0.394
15.45,0.309
15.59,0.223
7.78,0.113
7.41,0.343
7.44,0.298
18.01,0.172
17.66,0.299
9.06,0.092
13.34,0.048
8.64,0.288
34.94,0.592
1.7,0.014
40.57,0.02
127.51,0.284
27.72,0.441
29.74,0.069
9.72,0.069
18.91,0.21
18.23,0.959
15.27,0.204
15.1,0.606
17.6,0.404
15.49,0.062
34.22,0.57
15.24,0.218
7.78,0.159
17.87,0.201
116.83,0.053
12.69,0.075
16.66,0.168
37.9,0.76
16.74,0.212
27.49,0.154
25.63,0.514
20.72,0.092
20.97,0.283
14.1,0.472
25.63,1.17
19.78,0.26
45.09,0.501
22.27,0.109
10.96,0.44
9.02,0.238
21.37,0.285
11.24,0.125
16.79,0.888
21.84,0.115
7.39,0.246
8.88,0.33
10.12,0.101
0.0,0.0
38.75,0.066
27.61,0.461
21.32,0.179
11.85,0.313
18.45,0.369
12.96,0.37
18.34,0.141
11.69,0.077
13.11,0.165
19.1,0.131
15.1,2.517
14.1,1.033
7.39,0.155
20.13,0.029
207.78,1.167
61.35,0.441
7.78,0.156
8.65,0.043
13.25,0.133
15.1,0.606
9.34,0.203
8.29,0.318
17.97,0.382
11.89,0.149
42.62,0.391
17.94,0.181
17.6,0.469
34.36,0.03
20.06,0.287
30.85,0.062
12.48,0.735
16.05,1.155
15.1,0.689
9.09,0.126
37.49,0.187
16.98,0.221
7.78,0.181
16.11,0.359
104.8,0.585
15.1,0.336
13.31,0.079
10.5,0.068
19.95,0.254
18.06,0.258
17.73,0.273
7.78,0.268
11.06,0.17
12.11,0.093
21.23,0.055
29.7,0.27
14.39,0.152
22.83,0.231
15.1,0.336
14.52,0.291
22.96,0.426
19.3,0.179
11.6,0.039
11.24,0.125
39.1,0.261
12.79,0.069
18.4,0.112
2.83,0.071
19.66,0.328
27.35,0.308
11.95,0.299
26.92,0.49
19.46,0.978
12.87,0.43
8.27,0.296
15.86,0.407
20.74,0.116
23.61,0.126
18.23,0.508
26.53,0.183
17.63,0.353
20.93,0.891
13.85,0.198
7.78,0.26
10.96,0.783
10.96,0.391
5.4,0.079
16.09,0.084
18.34,0.278
17.67,0.295
0.0,0.0
13.09,0.172
23.0,0.23
14.87,0.149
19.44,0.045
17.57,0.156
16.11,0.421
20.29,0.059
16.1,0.083
28.13,0.141
17.67,0.361
40.06,0.139
13.17,0.157
14.1,0.393
15.1,1.171
7.12,0.1
14.05,0.106
15.49,0.148
14.52,0.296
16.95,0.1
16.25,0.232
14.34,0.169
16.12,0.231
21.58,0.24
17.63,1.326
38.04,0.295
18.3,0.656
20.01,0.182
7.79,0.261
27.88,0.175
20.21,0.146
18.23,1.336
17.92,0.524
13.5,0.628
11.48,0.174
14.67,0.03
10.62,0.18
41.33,0.828
13.43,0.228
16.11,0.895
8.11,0.27
29.9,0.378
52.12,0.261
67.26,0.192
3.19,0.059
23.2,0.331
12.85,0.13
9.85,0.328
12.83,0.068
27.75,0.414
42.41,0.53
16.88,0.106
13.07,0.222
15.1,0.521
40.46,0.185
17.6,0.36
51.12,0.138
8.3,0.417
12.79,0.92
17.65,0.136
14.1,0.595
16.32,0.466
21.1,0.141
15.1,0.308
16.25,0.184
18.23,0.45
9.44,0.316
12.86,0.174
14.07,0.138
11.85,0.595
18.41,0.419
7.78,0.173
17.09,0.342
17.02,0.114
19.56,0.366
11.15,0.164
14.52,2.904
19.18,0.492
16.11,0.778
15.84,0.176
37.65,0.109
21.19,0.212
15.1,1.525
24.07,0.113
15.15,0.266
8.27,0.202
13.44,0.224
7.78,0.223
7.78,0.556
18.29,0.124
7.39,0.623
12.27,0.112
11.85,0.791
10.96,0.548
17.15,0.086
13.67,0.086
14.44,0.481
45.28,0.065
11.85,0.595
8.9,0.298
7.78,0.205
21.64,0.132
38.45,0.298
16.79,2.803
45.19,0.435
24.83,0.355
16.34,0.127
18.66,0.233
8.47,0.163
16.41,0.513
12.64,0.13
12.79,0.256
7.78,0.144
18.23,0.916
19.71,0.294
12.48,0.358
15.17,0.253
12.79,0.715
13.5,0.199
16.79,0.844
13.37,0.267
18.95,0.032
13.2,0.107
86.34,0.54
9.12,0.084
16.76,0.045
14.55,0.26
7.42,0.093
15.1,0.53
16.79,0.908
12.79,0.328
23.38,0.203
25.54,0.256
9.55,0.281
22.87,0.286
20.88,0.374
13.61,0.16
7.42,0.093
23.28,1.312
12.79,0.256
15.69,0.136
9.27,0.245
16.4,0.149
7.78,0.311
7.87,1.977
17.6,0.353
10.96,0.736
16.39,0.098
12.69,0.432
20.02,0.267
10.96,0.654
21.51,0.066
10.91,0.036
15.11,0.29
18.3,0.633
16.84,0.068
17.23,0.181
17.5,0.098
11.74,0.25
18.26,0.333
23.62,0.183
14.57,0.256
14.6,0.122
6.72,0.112
39.36,0.124
26.12,0.032
15.66,0.121
8.72,0.672
25.33,0.052
7.78,0.389
11.85,0.868
8.98,0.1
7.78,0.243
16.82,0.093
20.29,0.135
18.23,0.916
15.01,0.083
7.55,0.244
23.38,0.195
8.29,0.308
16.46,0.165
15.1,0.541
24.1,0.045
14.2,0.237
51.12,0.343
15.57,0.135
13.61,0.349
25.81,0.187
0.0,0.0
13.7,0.092
31.51,0.115
79.48,0.318
31.8,0.212
13.84,0.082
7.87,0.715
14.52,2.42
26.3,0.376
34.27,0.303
42.38,2.13
35.61,0.524
15.97,0.092
22.08,0.037
17.81,0.237
7.78,0.216
11.45,0.095
18.37,0.472
12.16,0.128
15.1,0.302
14.03,0.219
15.56,0.134
25.04,0.193
13.24,0.083
24.56,0.396
16.95,0.048
2.97,0.061
18.04,0.159
26.88,0.336
15.24,0.218
58.9,0.436
16.22,0.192
9.61,0.108
17.85,0.208
17.15,0.168
35.53,0.245
16.12,0.317
40.19,0.335
44.84,0.301
15.36,0.09
22.14,0.074
25.72,0.409
18.99,0.071
21.15,1.063
18.15,0.141
