freight_value,price,distance_km,weight_kg,volume_cm3,freight_ratio,category,customer_state
14.1,9.99,619.42,0.1,352.0,1.41,computers_accessories,MG
11.85,44.9,155.94,0.4,600.0,0.26,bed_bath_table,SP
17.8,165.0,181.03,2.7,15096.0,0.11,garden_tools,SC
18.61,189.9,1220.82,0.45,561.0,0.1,telephony,RJ
17.16,44.9,719.36,0.35,1540.0,0.38,perfumery,ES
16.6,34.9,335.57,1.0,7200.0,0.48,bed_bath_table,SP
26.57,69.9,878.99,2.5,2420.0,0.38,sports_leisure,ES
17.19,45.9,712.75,0.25,3072.0,0.38,home_confort,RJ
17.35,63.0,142.6,2.7,9375.0,0.28,housewares,SP
23.52,849.0,489.67,1.83,8778.0,0.03,small_appliances,MG
7.39,9.99,26.65,0.15,1152.0,0.74,construction_tools_construction,SP
18.37,38.0,502.37,0.15,1820.0,0.48,health_beauty,RJ
16.99,78.99,559.42,4.58,8610.0,0.22,auto,MG
31.02,19.9,3144.83,0.22,11284.0,1.56,housewares,MA
18.3,27.9,752.12,0.05,2550.0,0.66,auto,PR
14.53,299.0,297.15,8.5,25200.0,0.05,bed_bath_table,SP
7.78,33.0,11.17,0.1,2352.0,0.24,stationery,SP
8.03,110.32,64.4,0.15,990.0,0.07,health_beauty,SP
9.26,74.9,143.28,1.0,12950.0,0.12,bed_bath_table,SP
7.78,39.9,17.37,0.2,1408.0,0.2,toys,SP
7.39,28.9,50.03,0.3,8000.0,0.26,housewares,SP
9.02,149.9,630.09,0.53,4840.0,0.06,computers_accessories,CE
19.39,215.9,400.76,0.35,8316.0,0.09,watches_gifts,SP
21.15,57.52,73.19,0.15,3744.0,0.37,computers_accessories,PR
19.94,99.9,1454.69,1.05,14440.0,0.2,bed_bath_table,BA
15.1,39.99,888.79,0.35,3800.0,0.38,bed_bath_table,ES
12.74,56.99,302.29,0.88,18000.0,0.22,bed_bath_table,SP
15.72,88.0,333.59,0.42,5376.0,0.18,bed_bath_table,SP
20.52,146.99,338.7,2.35,10240.0,0.14,cool_stuff,RJ
39.47,53.9,2226.36,1.55,19800.0,0.73,garden_tools,CE
16.11,45.0,641.94,0.9,18750.0,0.36,housewares,SC
13.7,194.0,112.65,1.0,19251.0,0.07,toys,SP
7.84,59.99,35.88,0.12,3024.0,0.13,pet_shop,RJ
14.1,19.9,502.93,0.22,1344.0,0.71,perfumery,MG
12.04,119.99,16.91,1.6,15750.0,0.1,cool_stuff,SP
69.21,249.9,1082.01,5.65,106580.0,0.28,cool_stuff,RJ
16.14,62.9,1043.76,0.18,3230.0,0.26,market_place,RS
14.9,164.9,332.4,0.2,5120.0,0.09,watches_gifts,RJ
14.73,59.99,314.41,1.45,9990.0,0.25,bed_bath_table,SP
19.53,79.9,425.93,1.1,12600.0,0.24,bed_bath_table,PR
9.17,59.89,5.98,0.85,1518.0,0.15,books_imported,SP
15.1,49.49,299.35,0.3,1260.0,0.3,health_beauty,RJ
14.91,367.52,323.9,0.5,5632.0,0.04,perfumery,SP
70.44,288.0,1490.37,1.4,4560.0,0.24,health_beauty,AL
13.91,127.0,218.08,1.85,59500.0,0.11,bed_bath_table,SP
8.73,80.9,14.21,0.33,4800.0,0.11,food,SP
23.44,41.47,844.32,0.39,5346.0,0.56,toys,RJ
10.5,250.0,92.6,0.85,10000.0,0.04,baby,SP
18.04,113.0,500.34,1.62,12789.0,0.16,sports_leisure,PR
21.72,131.9,1540.54,0.65,4864.0,0.16,garden_tools,ES
10.09,35.0,89.61,1.4,12000.0,0.29,furniture_decor,SP
7.78,54.99,111.86,0.25,1232.0,0.14,toys,SP
19.32,36.9,787.6,0.5,2880.0,0.52,housewares,RS
27.43,52.9,2626.11,0.59,7462.0,0.52,computers_accessories,MA
14.86,109.9,298.86,1.5,23625.0,0.14,bed_bath_table,SP
12.82,53.9,74.59,1.11,3762.0,0.24,health_beauty,SP
13.71,39.99,296.38,0.8,2560.0,0.34,bed_bath_table,SP
15.1,19.99,435.83,0.09,1045.0,0.76,telephony,MG
26.98,355.9,2685.09,0.6,3696.0,0.08,perfumery,RO
23.32,105.9,569.13,1.23,19950.0,0.22,bed_bath_table,RJ
16.72,155.5,276.53,2.2,23625.0,0.11,home_confort,SP
16.11,39.9,1382.28,0.83,4508.0,0.4,computers_accessories,RS
12.8,19.9,340.68,0.25,4800.0,0.64,bed_bath_table,SP
9.41,94.9,43.26,1.18,14326.0,0.1,bed_bath_table,SP
7.78,49.0,2.57,0.25,640.0,0.16,fashion_bags_accessories,SP
13.44,59.81,302.65,1.0,8866.0,0.22,furniture_decor,SP
23.43,79.9,1108.22,2.27,5148.0,0.29,health_beauty,MG
7.81,78.0,40.72,0.25,640.0,0.1,watches_gifts,SP
38.37,113.09,334.41,1.35,25056.0,0.34,health_beauty,SP
16.3,77.0,515.97,1.0,9720.0,0.21,furniture_decor,MG
19.32,12.9,564.91,0.7,32760.0,1.5,home_comfort_2,GO
13.02,50.75,158.44,1.11,3762.0,0.26,health_beauty,SP
15.1,41.8,577.07,0.2,23625.0,0.36,toys,RJ
23.85,149.99,84.57,6.55,8000.0,0.16,computers_accessories,MG
8.72,49.9,40.49,0.44,4200.0,0.18,perfumery,SP
35.66,75.0,458.39,2.3,15625.0,0.48,bed_bath_table,SP
16.83,55.0,1539.74,0.25,640.0,0.31,watches_gifts,BA
19.04,27.99,2473.12,0.3,816.0,0.68,telephony,PA
19.84,227.99,1470.75,1.47,22080.0,0.09,baby,BA
23.34,88.9,1882.15,0.3,5000.0,0.26,computers_accessories,CE
15.56,49.9,360.02,1.3,17850.0,0.31,housewares,SP
7.39,18.99,19.3,0.25,2880.0,0.39,housewares,SP
14.1,23.99,337.61,0.1,4500.0,0.59,health_beauty,PR
30.01,139.0,1141.78,5.42,90992.0,0.22,auto,BA
13.19,75.0,527.16,0.3,9375.0,0.18,consoles_games,SP
23.49,166.99,332.27,2.42,16530.0,0.14,cool_stuff,RJ
23.32,55.0,1296.14,3.7,30625.0,0.42,furniture_decor,BA
15.11,49.0,263.51,0.4,8349.0,0.31,furniture_decor,SC
19.65,343.0,732.77,1.3,18400.0,0.06,unknown,PR
14.15,56.99,883.99,0.35,3960.0,0.25,perfumery,DF
8.6,62.4,135.74,0.7,4050.0,0.14,health_beauty,SP
12.12,88.9,405.4,1.3,33930.0,0.14,toys,SP
21.22,330.0,2479.97,0.4,2992.0,0.06,health_beauty,PA
15.03,390.0,56.26,2.1,4536.0,0.04,sports_leisure,SP
16.88,159.9,375.36,1.2,7644.0,0.11,toys,SP
11.85,45.0,206.98,0.1,960.0,0.26,telephony,SP
14.22,65.0,400.08,2.4,40500.0,0.22,health_beauty,SP
15.8,52.0,190.96,0.1,3840.0,0.3,auto,MG
39.44,64.9,1093.52,5.15,15120.0,0.61,cool_stuff,MT
16.4,66.76,21.57,6.65,45000.0,0.25,sports_leisure,SP
19.27,729.0,739.81,3.2,11400.0,0.03,costruction_tools_tools,SP
14.52,17.99,590.85,0.15,1980.0,0.81,telephony,MG
15.1,24.99,689.07,0.15,4096.0,0.6,fashion_bags_accessories,PR
26.11,69.9,133.46,12.3,64000.0,0.37,furniture_decor,SP
12.15,99.99,0.0,0.68,11088.0,0.12,toys,RJ
25.73,169.9,894.03,1.95,10098.0,0.15,bed_bath_table,RS
16.73,69.0,472.47,1.0,8624.0,0.24,unknown,SC
16.14,54.9,768.38,0.85,5670.0,0.29,housewares,SP
15.31,29.9,338.84,0.1,2816.0,0.51,sports_leisure,MG
14.52,27.0,329.69,0.6,2880.0,0.54,home_appliances,PR
27.96,156.94,347.27,13.35,70224.0,0.18,office_furniture,SP
16.11,48.9,491.73,0.9,23625.0,0.33,bed_bath_table,RJ
20.44,135.0,347.49,3.1,8000.0,0.15,furniture_decor,RJ
20.33,120.0,621.2,1.15,24000.0,0.17,pet_shop,DF
15.38,89.9,946.93,1.82,21200.0,0.17,home_confort,RS
8.27,22.9,1.87,0.15,2100.0,0.36,musical_instruments,PR
17.98,105.0,284.85,0.22,2736.0,0.17,watches_gifts,SP
19.93,89.99,47.99,7.12,45968.0,0.22,office_furniture,SP
11.85,22.9,126.36,0.3,3456.0,0.52,pet_shop,SP
18.23,36.75,699.14,0.4,4375.0,0.5,baby,SC
12.79,45.0,149.53,7.15,42875.0,0.28,furniture_decor,SP
36.96,379.0,106.49,14.15,22500.0,0.1,kitchen_dining_laundry_garden_furniture,RS
15.1,29.9,856.41,0.2,1200.0,0.5,health_beauty,RS
3.96,86.0,2418.46,0.21,2926.0,0.05,computers_accessories,AM
14.56,115.0,487.5,1.05,31500.0,0.13,furniture_decor,MG
21.54,149.9,249.19,2.35,7448.0,0.14,furniture_decor,RJ
13.74,88.0,575.33,0.21,2926.0,0.16,computers_accessories,SP
13.37,39.9,550.24,0.49,3648.0,0.34,computers_accessories,SP
20.23,106.0,360.01,2.8,16480.0,0.19,furniture_decor,RJ
18.09,119.9,779.28,1.9,4374.0,0.15,health_beauty,SC
14.93,168.5,347.08,0.2,2016.0,0.09,health_beauty,SP
11.85,35.9,111.86,0.28,832.0,0.33,pet_shop,SP
12.35,121.0,287.27,0.45,7942.0,0.1,sports_leisure,SP
14.42,99.0,163.03,1.3,9000.0,0.15,air_conditioning,SP
11.85,15.9,301.74,0.25,4800.0,0.74,bed_bath_table,SP
18.05,229.9,1239.36,0.18,4256.0,0.08,health_beauty,RJ
16.04,1097.99,29.45,0.89,7056.0,0.02,home_construction,SP
15.1,24.99,673.07,0.35,816.0,0.6,telephony,ES
36.74,419.9,1732.79,0.5,5220.0,0.09,baby,MA
16.35,84.9,293.81,0.9,4096.0,0.19,sports_leisure,SP
23.49,130.0,448.11,1.6,24000.0,0.18,housewares,MG
12.79,29.9,294.21,0.45,4200.0,0.43,baby,SP
26.95,717.71,1104.93,0.5,2565.0,0.04,watches_gifts,BA
7.42,22.9,89.24,0.2,6048.0,0.32,construction_tools_construction,SP
22.85,21.99,2099.35,0.3,816.0,1.04,telephony,PI
17.53,112.99,6.11,8.45,42400.0,0.16,office_furniture,SP
10.81,199.5,125.93,0.9,9216.0,0.05,computers_accessories,SP
13.34,149.9,2119.92,0.53,4840.0,0.09,computers_accessories,SP
15.1,19.9,527.86,0.4,9600.0,0.76,furniture_decor,DF
23.28,67.8,705.47,1.18,10098.0,0.34,housewares,RS
9.02,179.49,13.79,0.5,6048.0,0.05,auto,SP
15.1,45.0,513.14,0.35,5120.0,0.34,auto,SC
16.81,149.99,526.72,1.1,13860.0,0.11,toys,SP
15.44,79.9,394.29,0.15,4096.0,0.19,computers_accessories,RJ
15.32,89.5,894.06,0.21,2926.0,0.17,computers_accessories,RJ
26.53,179.0,2341.21,0.43,1683.0,0.15,watches_gifts,CE
19.34,21.7,413.93,0.28,4180.0,0.89,home_construction,MG
19.36,56.1,674.49,0.95,9450.0,0.34,bed_bath_table,DF
11.9,125.0,47.35,1.0,6240.0,0.1,bed_bath_table,SP
50.26,1122.0,2164.92,7.6,27000.0,0.04,musical_instruments,MA
227.57,380.0,1991.93,20.85,55000.0,0.6,office_furniture,MA
11.85,45.95,235.7,0.35,3800.0,0.26,bed_bath_table,SP
10.6,55.0,362.81,0.8,15000.0,0.19,musical_instruments,RJ
11.37,49.9,25.84,0.95,880.0,0.23,housewares,SP
15.27,23.99,335.57,0.18,3672.0,0.64,telephony,PR
18.23,94.9,1061.92,0.65,7560.0,0.19,pet_shop,BA
15.63,59.99,564.31,1.6,4480.0,0.26,bed_bath_table,MG
15.79,32.0,1338.03,0.9,6000.0,0.49,furniture_decor,MT
13.37,26.9,179.01,1.85,11025.0,0.5,housewares,MG
15.1,35.7,960.35,0.05,624.0,0.42,home_appliances,GO
18.99,120.0,1320.55,0.75,2500.0,0.16,fashion_bags_accessories,MG
13.37,45.91,580.51,1.25,8640.0,0.29,furniture_decor,SP
15.23,13.99,359.16,0.2,3750.0,1.09,health_beauty,RJ
18.87,141.75,778.72,0.7,8694.0,0.13,cool_stuff,RS
16.95,99.9,330.65,1.9,6851.0,0.17,garden_tools,SP
16.39,59.9,319.87,0.48,3105.0,0.27,perfumery,SP
15.01,99.99,362.33,1.7,19500.0,0.15,art,SP
9.78,112.99,27.75,0.9,8000.0,0.09,furniture_decor,SP
19.38,120.0,1207.66,0.9,8448.0,0.16,home_construction,BA
15.27,24.9,463.47,0.2,2378.0,0.61,computers_accessories,SP
16.79,17.6,350.81,0.55,2880.0,0.95,health_beauty,ES
16.32,18.0,504.38,0.95,11960.0,0.91,housewares,MG
9.94,29.0,75.22,0.8,8000.0,0.34,home_confort,SP
14.23,68.0,351.56,0.6,37884.0,0.21,consoles_games,RJ
12.6,199.0,7.57,1.8,18000.0,0.06,home_confort,SP
17.35,130.0,1025.96,0.2,900.0,0.13,unknown,MG
21.35,53.9,1254.36,1.65,19800.0,0.4,garden_tools,RS
14.52,49.9,791.04,0.13,1170.0,0.29,telephony,SP
18.23,19.0,794.11,0.15,2604.0,0.96,computers_accessories,SC
40.59,239.0,1867.98,0.29,2700.0,0.17,watches_gifts,AL
13.94,229.0,159.09,0.85,6732.0,0.06,sports_leisure,SP
17.19,133.9,365.65,1.2,4275.0,0.13,books_general_interest,SP
21.08,89.99,1959.82,0.3,4096.0,0.23,computers_accessories,TO
46.05,226.77,579.82,12.2,62500.0,0.2,furniture_decor,ES
11.93,61.5,368.44,0.15,816.0,0.19,auto,SP
15.1,24.99,383.83,0.5,6776.0,0.6,bed_bath_table,SP
17.16,199.9,536.52,0.98,9216.0,0.09,computers_accessories,SP
14.94,105.0,8.02,2.8,24000.0,0.14,computers_accessories,RS
11.9,125.0,71.65,2.0,18000.0,0.1,furniture_decor,SP
17.35,129.9,1064.68,0.8,4096.0,0.13,housewares,RJ
12.69,49.5,293.56,0.61,5400.0,0.26,computers_accessories,SP
11.86,51.98,206.03,0.25,3234.0,0.23,computers_accessories,SP
9.34,56.99,11.52,0.85,12250.0,0.16,auto,SP
16.99,175.0,916.55,0.7,3024.0,0.1,electronics,MS
15.55,113.99,1076.8,0.18,1020.0,0.14,consoles_games,RS
19.8,89.98,23.71,7.48,66144.0,0.22,furniture_decor,SP
8.17,129.97,26.72,0.32,4845.0,0.06,pet_shop,SP
34.43,89.99,2162.42,0.25,3960.0,0.38,health_beauty,RO
7.78,12.25,64.32,0.18,3872.0,0.64,electronics,SP
11.85,27.99,128.71,0.3,816.0,0.42,telephony,SP
9.9,114.6,1906.79,2.6,70200.0,0.09,office_furniture,AL
15.35,35.0,357.27,0.1,1331.0,0.44,health_beauty,RJ
29.34,579.9,2283.06,0.38,3072.0,0.05,watches_gifts,CE
0.0,53.9,402.34,1.55,19800.0,0.0,garden_tools,MG
8.65,130.0,57.87,0.12,6750.0,0.07,sports_leisure,SP
9.56,339.9,18.1,0.15,2023.0,0.03,construction_tools_safety,RS
13.65,89.9,223.83,1.38,20000.0,0.15,bed_bath_table,SP
19.75,79.9,660.45,0.65,10320.0,0.25,housewares,SP
18.23,139.99,545.36,1.5,60000.0,0.13,cool_stuff,MG
17.98,103.8,848.99,2.05,15312.0,0.17,small_appliances,DF
21.21,59.0,979.38,0.3,3000.0,0.36,sports_leisure,PR
17.95,99.9,465.49,1.1,11439.0,0.18,bed_bath_table,MS
38.32,109.9,1388.75,1.1,7776.0,0.35,auto,GO
12.03,200.0,71.92,1.75,33600.0,0.06,toys,SP
11.85,12.9,295.67,0.7,32760.0,0.92,home_comfort_2,SP
12.13,89.9,310.72,4.05,23625.0,0.14,home_confort,SP
18.14,205.0,49.87,3.3,54000.0,0.09,bed_bath_table,SP
13.41,56.0,336.98,0.85,18000.0,0.24,pet_shop,MG
12.69,49.99,325.26,0.8,2560.0,0.25,bed_bath_table,SP
18.28,25.0,294.26,0.25,1540.0,0.73,housewares,RJ
16.6,40.0,343.06,1.0,7200.0,0.42,bed_bath_table,SP
12.76,59.99,295.8,1.45,13500.0,0.21,bed_bath_table,SP
17.63,19.9,1098.9,0.2,4500.0,0.89,computers_accessories,RJ
19.04,14.5,2113.13,0.39,6600.0,1.31,sports_leisure,PE
48.35,129.9,2070.04,3.4,11907.0,0.37,office_furniture,PB
13.37,49.9,467.35,1.65,19800.0,0.27,garden_tools,SP
18.31,59.9,559.29,5.75,12480.0,0.31,auto,SP
18.32,99.9,571.21,2.8,6450.0,0.18,furniture_decor,MG
17.31,18.9,33.41,0.1,1104.0,0.92,furniture_decor,RJ
14.43,97.0,340.32,0.12,2288.0,0.15,computers_accessories,RJ
14.6,121.9,495.91,0.25,1452.0,0.12,garden_tools,MG
12.23,119.9,317.21,1.1,8866.0,0.1,furniture_decor,SP
13.43,59.0,470.62,1.55,19800.0,0.23,garden_tools,SP
21.67,124.99,1938.81,0.38,8120.0,0.17,baby,MA
10.96,39.9,280.63,0.1,2772.0,0.28,computers_accessories,PR
15.28,149.9,131.12,1.8,7616.0,0.1,bed_bath_table,SP
206.5,169.9,2230.4,13.0,40344.0,1.22,furniture_decor,PA
44.88,49.99,861.89,7.85,51840.0,0.9,furniture_decor,DF
17.05,122.99,645.66,0.7,5700.0,0.14,health_beauty,CE
18.23,9.9,487.47,0.1,2457.0,1.84,housewares,RJ
11.37,49.9,27.22,1.4,8000.0,0.23,bed_bath_table,SP
8.29,27.5,29.27,0.4,8000.0,0.3,bed_bath_table,SP
20.99,49.9,335.16,1.5,19800.0,0.42,garden_tools,SP
17.67,59.9,676.49,1.5,19800.0,0.3,garden_tools,RJ
19.16,194.0,492.88,2.52,5832.0,0.1,health_beauty,MG
14.1,49.9,420.65,0.4,3750.0,0.28,furniture_decor,RJ
20.18,81.8,1562.97,1.3,7875.0,0.25,bed_bath_table,RO
19.32,34.9,478.68,0.55,17328.0,0.55,watches_gifts,RJ
44.2,39.0,2260.69,0.85,40320.0,1.13,furniture_decor,SP
38.21,99.0,600.35,6.05,8000.0,0.39,garden_tools,PR
